timeUTC,latitude,longitude,desc,speed,course,date
65413,-7.324306633,112.7810366,time: 13:54:13.23; speed: 30.372799999999998; course: 182.3,30.37,182.3,211222
65414,-7.3243912,112.7810317,time: 13:54:14.23; speed: 31.2988; course: 182.6,31.3,182.6,211222
65415,-7.324469533,112.781028,time: 13:54:15.23; speed: 31.2988; course: 182.7,31.3,182.7,211222
65416,-7.324547717,112.7810273,time: 13:54:16.23; speed: 31.854400000000002; course: 181.9,31.85,181.9,211222
65417,-7.3246279,112.7810216,time: 13:54:17.23; speed: 31.669200000000004; course: 180.3,31.67,180.3,211222
65418,-7.324703783,112.7810165,time: 13:54:18.23; speed: 30.372799999999998; course: 181.0,30.37,181,211222
65419,-7.324770817,112.7810261,time: 13:54:19.23; speed: 30.743200000000005; course: 177.7,30.74,177.7,211222
65420,-7.3248509,112.7810306,time: 13:54:20.23; speed: 32.7804; course: 176.9,32.78,176.9,211222
65421,-7.324933967,112.7810429,time: 13:54:21.23; speed: 34.0768; course: 172.4,34.08,172.4,211222
65422,-7.32501435,112.7810515,time: 13:54:22.22; speed: 31.1136; course: 174.2,31.11,174.2,211222
65423,-7.325095533,112.7810603,time: 13:54:23.23; speed: 30.9284; course: 174.0,30.93,174,211222
65424,-7.325173983,112.7810693,time: 13:54:24.23; speed: 31.2988; course: 172.1,31.3,172.1,211222
65425,-7.325251533,112.7810757,time: 13:54:25.23; speed: 30.743200000000005; course: 172.4,30.74,172.4,211222
65426,-7.325332833,112.7810821,time: 13:54:26.23; speed: 30.9284; course: 170.7,30.93,170.7,211222
65427,-7.32541305,112.7810908,time: 13:54:27.23; speed: 31.484; course: 171.5,31.48,171.5,211222
65428,-7.325488783,112.781105,time: 13:54:28.23; speed: 31.484; course: 170.6,31.48,170.6,211222
65429,-7.325572717,112.7811173,time: 13:54:29.23; speed: 31.854400000000002; course: 169.1,31.85,169.1,211222
65430,-7.32565125,112.7811291,time: 13:54:30.23; speed: 31.854400000000002; course: 168.3,31.85,168.3,211222
65431,-7.325736033,112.7811454,time: 13:54:31.22; speed: 32.9656; course: 169.3,32.97,169.3,211222
65432,-7.325804817,112.7811672,time: 13:54:32.23; speed: 30.187600000000003; course: 166.1,30.19,166.1,211222
65433,-7.325883533,112.7811859,time: 13:54:33.23; speed: 29.817200000000003; course: 165.9,29.82,165.9,211222
65434,-7.3259568,112.7812017,time: 13:54:34.23; speed: 29.632; course: 164.3,29.63,164.3,211222
65435,-7.3260253,112.7812196,time: 13:54:35.23; speed: 29.2616; course: 162.5,29.26,162.5,211222
65436,-7.3260992,112.7812471,time: 13:54:36.23; speed: 29.632; course: 160.0,29.63,160,211222
65437,-7.326167033,112.7812683,time: 13:54:37.23; speed: 29.0764; course: 161.4,29.08,161.4,211222
65438,-7.326243217,112.7813006,time: 13:54:38.23; speed: 29.817200000000003; course: 158.3,29.82,158.3,211222
65439,-7.3263093,112.7813279,time: 13:54:39.23; speed: 29.2616; course: 159.7,29.26,159.7,211222
65440,-7.326375567,112.7813554,time: 13:54:40.23; speed: 28.8912; course: 156.9,28.89,156.9,211222
65441,-7.326445433,112.7813846,time: 13:54:41.23; speed: 29.2616; course: 156.5,29.26,156.5,211222
65442,-7.32651595,112.781406,time: 13:54:42.23; speed: 28.8912; course: 160.4,28.89,160.4,211222
65443,-7.3265854,112.7814281,time: 13:54:43.22; speed: 28.706000000000003; course: 163.5,28.71,163.5,211222
65444,-7.326649133,112.781449,time: 13:54:44.23; speed: 26.6688; course: 165.1,26.67,165.1,211222
65445,-7.326713833,112.781471,time: 13:54:45.23; speed: 26.6688; course: 166.8,26.67,166.8,211222
65446,-7.326782283,112.7814882,time: 13:54:46.23; speed: 28.335600000000003; course: 167.8,28.34,167.8,211222
65447,-7.326853033,112.7814963,time: 13:54:47.23; speed: 26.483600000000003; course: 171.0,26.48,171,211222
65448,-7.32692775,112.7815037,time: 13:54:48.23; speed: 28.335600000000003; course: 173.0,28.34,173,211222
65449,-7.326994783,112.7815059,time: 13:54:49.23; speed: 28.8912; course: 173.7,28.89,173.7,211222
65450,-7.327064283,112.7815082,time: 13:54:50.23; speed: 27.9652; course: 175.3,27.97,175.3,211222
65451,-7.32713795,112.7815199,time: 13:54:51.23; speed: 29.2616; course: 174.5,29.26,174.5,211222
65452,-7.327210933,112.7815255,time: 13:54:52.23; speed: 29.446800000000003; course: 177.1,29.45,177.1,211222
65453,-7.327285517,112.7815307,time: 13:54:53.23; speed: 30.0024; course: 175.7,30,175.7,211222
65454,-7.327359033,112.7815331,time: 13:54:54.23; speed: 30.0024; course: 182.0,30,182,211222
65455,-7.327437433,112.781526,time: 13:54:55.23; speed: 30.372799999999998; course: 182.6,30.37,182.6,211222
65456,-7.327513117,112.7815186,time: 13:54:56.23; speed: 31.1136; course: 183.3,31.11,183.3,211222
65457,-7.327584017,112.7815133,time: 13:54:57.23; speed: 29.817200000000003; course: 183.0,29.82,183,211222
65458,-7.327663767,112.7815095,time: 13:54:58.23; speed: 31.854400000000002; course: 183.4,31.85,183.4,211222
65459,-7.327740217,112.7815034,time: 13:54:59.23; speed: 31.2988; course: 182.2,31.3,182.2,211222
65500,-7.327825683,112.7814976,time: 13:55:00.23; speed: 32.0396; course: 184.7,32.04,184.7,211222
65501,-7.327906567,112.7814939,time: 13:55:01.23; speed: 32.410000000000004; course: 184.5,32.41,184.5,211222
65502,-7.3279918,112.7814951,time: 13:55:02.23; speed: 32.9656; course: 184.0,32.97,184,211222
65503,-7.328070417,112.7814891,time: 13:55:03.23; speed: 32.595200000000006; course: 184.0,32.6,184,211222
65504,-7.32814485,112.7814822,time: 13:55:04.23; speed: 30.558; course: 184.4,30.56,184.4,211222
65505,-7.328223717,112.7814784,time: 13:55:05.23; speed: 28.335600000000003; course: 184.0,28.34,184,211222
65506,-7.328289733,112.7814789,time: 13:55:06.23; speed: 26.1132; course: 183.0,26.11,183,211222
65507,-7.32835335,112.7814762,time: 13:55:07.23; speed: 25.1872; course: 185.0,25.19,185,211222
65508,-7.328421583,112.7814716,time: 13:55:08.23; speed: 25.557600000000004; course: 186.0,25.56,186,211222
65509,-7.328481667,112.7814665,time: 13:55:09.23; speed: 24.631600000000002; course: 184.2,24.63,184.2,211222
65510,-7.328543917,112.7814609,time: 13:55:10.23; speed: 25.3724; course: 186.5,25.37,186.5,211222
65511,-7.328624467,112.7814581,time: 13:55:11.23; speed: 28.1504; course: 184.2,28.15,184.2,211222
65512,-7.3286943,112.7814577,time: 13:55:12.22; speed: 28.335600000000003; course: 181.6,28.34,181.6,211222
65513,-7.32877085,112.7814524,time: 13:55:13.23; speed: 30.0024; course: 184.2,30,184.2,211222
65514,-7.328845917,112.7814421,time: 13:55:14.22; speed: 30.0024; course: 186.0,30,186,211222
65515,-7.328931283,112.7814404,time: 13:55:15.22; speed: 31.484; course: 184.1,31.48,184.1,211222
65516,-7.329009217,112.7814341,time: 13:55:16.23; speed: 31.2988; course: 187.0,31.3,187,211222
65517,-7.3290892,112.781427,time: 13:55:17.23; speed: 31.669200000000004; course: 184.4,31.67,184.4,211222
65518,-7.329167383,112.7814231,time: 13:55:18.23; speed: 32.0396; course: 186.1,32.04,186.1,211222
65519,-7.32925275,112.7814173,time: 13:55:19.23; speed: 32.7804; course: 185.0,32.78,185,211222
65520,-7.32933385,112.7814096,time: 13:55:20.22; speed: 33.336; course: 184.2,33.34,184.2,211222
65521,-7.32941455,112.7814036,time: 13:55:21.23; speed: 33.52120000000001; course: 184.3,33.52,184.3,211222
65522,-7.3294988,112.7813971,time: 13:55:22.23; speed: 35.0028; course: 184.2,35,184.2,211222
65523,-7.329579467,112.7813859,time: 13:55:23.23; speed: 34.817600000000006; course: 184.8,34.82,184.8,211222
65524,-7.329665483,112.7813736,time: 13:55:24.23; speed: 34.262; course: 189.4,34.26,189.4,211222
65525,-7.329751883,112.7813648,time: 13:55:25.23; speed: 34.262; course: 184.7,34.26,184.7,211222
65526,-7.329839683,112.7813625,time: 13:55:26.23; speed: 36.6696; course: 184.8,36.67,184.8,211222
65527,-7.329929783,112.781359,time: 13:55:27.23; speed: 36.114000000000004; course: 183.8,36.11,183.8,211222
65528,-7.330016983,112.7813543,time: 13:55:28.23; speed: 35.9288; course: 184.2,35.93,184.2,211222
65529,-7.330114833,112.7813472,time: 13:55:29.23; speed: 37.04; course: 186.0,37.04,186,211222
65530,-7.330212083,112.7813436,time: 13:55:30.23; speed: 37.4104; course: 183.3,37.41,183.3,211222
65531,-7.330308633,112.7813409,time: 13:55:31.22; speed: 36.8548; course: 184.8,36.85,184.8,211222
65532,-7.330405417,112.7813344,time: 13:55:32.23; speed: 38.3364; course: 184.7,38.34,184.7,211222
65533,-7.3305108,112.7813331,time: 13:55:33.23; speed: 38.7068; course: 184.1,38.71,184.1,211222
65534,-7.33060805,112.7813193,time: 13:55:34.23; speed: 36.299200000000006; course: 185.9,36.3,185.9,211222
65535,-7.330698367,112.7813118,time: 13:55:35.23; speed: 32.9656; course: 181.7,32.97,181.7,211222
65536,-7.33077305,112.7813106,time: 13:55:36.23; speed: 25.3724; course: 180.9,25.37,180.9,211222
65537,-7.33083675,112.7813112,time: 13:55:37.23; speed: 24.2612; course: 184.4,24.26,184.4,211222
65538,-7.330896067,112.7813059,time: 13:55:38.23; speed: 22.9648; course: 182.9,22.96,182.9,211222
65539,-7.3309588,112.7813029,time: 13:55:39.23; speed: 22.9648; course: 184.0,22.96,184,211222
