init_lat,init_lon,init_alt,curr_lat,curr_lon,curr_alt,azi_thet,elev_thet
-7.27604985,112.80180526,36.0,-7.27444832,112.79906111,35.0,0,0
-7.27604985,112.80180526,36.0,-7.2744539,112.7989565,35.0,0,0
-7.27604985,112.80180526,36.0,-7.27445926,112.79885441,35.0,0,0
-7.27604985,112.80180526,36.0,-7.2744658,112.79875659,36.0,0,0
-7.27604985,112.80180526,36.0,-7.27447527,112.79866691,35.0,0,0
-7.27604985,112.80180526,36.0,-7.27448516,112.79857806,35.0,0,0
-7.27604985,112.80180526,36.0,-7.27450243,112.79849122,35.0,0,0
-7.27604985,112.80180526,36.0,-7.27452636,112.79841512,35.0,0,0
-7.27604985,112.80180526,36.0,-7.27455632,112.79834202,35.0,0,0
-7.27604985,112.80180526,36.0,-7.27458985,112.7982722,35.0,0,0
-7.27604985,112.80180526,36.0,-7.27463013,112.7982111,35.0,0,0
-7.27604985,112.80180526,36.0,-7.2746696,112.79815578,35.0,0,0
-7.27604985,112.80180526,36.0,-7.27470971,112.79810356,35.0,0,0
-7.27604985,112.80180526,36.0,-7.27474835,112.79805838,35.0,0,0
-7.27604985,112.80180526,36.0,-7.27478812,112.79800792,35.0,0,0
-7.27604985,112.80180526,36.0,-7.27482446,112.79794908,35.0,0,0
-7.27604985,112.80180526,36.0,-7.27484529,112.79787557,35.0,0,0
-7.27604985,112.80180526,36.0,-7.27484822,112.79780173,35.0,0,0
-7.27604985,112.80180526,36.0,-7.27484449,112.79772562,36.0,0,0
-7.27604985,112.80180526,36.0,-7.27484504,112.7976444,35.0,0,0
-7.27604985,112.80180526,36.0,-7.2748473,112.79756217,35.0,0,0
-7.27604985,112.80180526,36.0,-7.2748556,112.79747291,35.0,0,0
-7.27604985,112.80180526,36.0,-7.27486453,112.79738087,35.0,0,0
-7.27604985,112.80180526,36.0,-7.27487756,112.79728842,35.0,0,0
-7.27604985,112.80180526,36.0,-7.2748947,112.7971932,34.0,0,0
-7.27604985,112.80180526,36.0,-7.27491545,112.79709974,34.0,0,0
-7.27604985,112.80180526,36.0,-7.27494193,112.79700628,34.0,0,0
-7.27604985,112.80180526,36.0,-7.27496712,112.79692104,34.0,0,0
-7.27604985,112.80180526,36.0,-7.27498979,112.79684854,34.0,0,0
-7.27604985,112.80180526,36.0,-7.2750066,112.79678827,35.0,0,0
-7.27604985,112.80180526,36.0,-7.27502039,112.79673513,34.0,0,0
-7.27604985,112.80180526,36.0,-7.27503082,112.7966876,35.0,0,0
-7.27604985,112.80180526,36.0,-7.27503552,112.79665324,35.0,0,0
-7.27604985,112.80180526,36.0,-7.27503912,112.79660697,35.0,0,0
-7.27604985,112.80180526,36.0,-7.27505253,112.79655056,34.0,0,0
-7.27604985,112.80180526,36.0,-7.2750693,112.79648644,33.0,0,0
-7.27604985,112.80180526,36.0,-7.27509012,112.79641042,33.0,0,0
-7.27604985,112.80180526,36.0,-7.27511007,112.79632919,33.0,0,0
-7.27604985,112.80180526,36.0,-7.2751265,112.79624303,32.0,0,0
-7.27604985,112.80180526,36.0,-7.27514402,112.79614597,32.0,0,0
-7.27604985,112.80180526,36.0,-7.27516078,112.79604681,33.0,0,0
-7.27604985,112.80180526,36.0,-7.27517734,112.79594924,33.0,0,0
