init_lat,init_lon,init_alt,curr_lat,curr_lon,curr_alt,azi_thet,elev_thet
-7.27656873,112.79388939,37.0,-7.27667254,112.79402023,38.0,128.65,3.09
-7.27656873,112.79388939,37.0,-7.27668461,112.79402233,38.0,131.31,2.93
-7.27656873,112.79388939,37.0,-7.27669375,112.79402275,38.0,133.38,2.83
-7.27656873,112.79388939,37.0,-7.27670452,112.79401889,37.0,136.59,0.0
-7.27656873,112.79388939,37.0,-7.27671093,112.79401235,37.0,139.38,0.0
-7.27656873,112.79388939,37.0,-7.27671144,112.79400288,38.0,141.73,2.83
-7.27656873,112.79388939,37.0,-7.2767106,112.79399509,37.0,143.53,0.0
-7.27656873,112.79388939,37.0,-7.27671022,112.79398385,37.0,146.49,0.0
-7.27656873,112.79388939,37.0,-7.27671093,112.79397313,37.0,149.71,0.0
-7.27656873,112.79388939,37.0,-7.27671114,112.79396005,37.0,153.79,0.0
-7.27656873,112.79388939,37.0,-7.27671198,112.79394865,37.0,157.69,0.0
-7.27656873,112.79388939,37.0,-7.27670976,112.79393641,37.0,161.7,0.0
-7.27656873,112.79388939,37.0,-7.27671081,112.79392895,37.0,164.56,0.0
-7.27656873,112.79388939,37.0,-7.27670813,112.79392007,37.0,167.68,0.0
-7.27656873,112.79388939,37.0,-7.27670578,112.79390842,37.0,172.16,0.0
-7.27656873,112.79388939,37.0,-7.27670222,112.79389501,38.0,177.61,3.85
-7.27656873,112.79388939,37.0,-7.27670217,112.79387967,38.0,184.1,3.84
-7.27656873,112.79388939,37.0,-7.2767031,112.79386869,38.0,188.7,3.78
-7.27656873,112.79388939,37.0,-7.27670284,112.79385502,38.0,194.3,3.71
-7.27656873,112.79388939,37.0,-7.27670155,112.79384497,38.0,198.4,3.67
-7.27656873,112.79388939,37.0,-7.27669798,112.79383357,38.0,203.2,3.66
-7.27656873,112.79388939,37.0,-7.27669706,112.79382225,38.0,207.4,3.56
-7.27656873,112.79388939,37.0,-7.27669505,112.79380918,38.0,212.2,3.44
-7.27656873,112.79388939,37.0,-7.27669329,112.79379694,39.0,216.4,6.63
-7.27656873,112.79388939,37.0,-7.27668989,112.79378537,39.0,220.4,6.44
-7.27656873,112.79388939,37.0,-7.27668964,112.79377397,39.0,223.4,6.16
-7.27656873,112.79388939,37.0,-7.27668155,112.79376668,39.0,227.2,6.18
-7.27656873,112.79388939,37.0,-7.27667426,112.79376207,39.0,230.1,6.23
-7.27656873,112.79388939,37.0,-7.27666856,112.79376039,38.0,232.0,3.17
-7.27656873,112.79388939,37.0,-7.27666001,112.79375293,38.0,236.0,3.15
-7.27656873,112.79388939,37.0,-7.27665054,112.79374958,38.0,239.5,3.19
-7.27656873,112.79388939,37.0,-7.27663948,112.79374598,38.0,243.6,3.24
-7.27656873,112.79388939,37.0,-7.27663059,112.79374472,38.0,246.7,3.29
-7.27656873,112.79388939,37.0,-7.27662095,112.79374178,38.0,250.4,3.31
-7.27656873,112.79388939,37.0,-7.27661039,112.79373877,38.0,254.4,3.31
-7.27656873,112.79388939,37.0,-7.27659849,112.79373525,38.0,259.0,3.3
-7.27656873,112.79388939,37.0,-7.27658772,112.79373868,37.0,262.8,0.0
-7.27656873,112.79388939,37.0,-7.27657678,112.79373885,38.0,266.9,3.44
-7.27656873,112.79388939,37.0,-7.27656488,112.79373986,38.0,271.5,3.46
-7.27656873,112.79388939,37.0,-7.27655474,112.79374246,38.0,275.5,3.51
-7.27656873,112.79388939,37.0,-7.27653797,112.79389308,38.0,6.79,16.17
-7.27656873,112.79388939,37.0,-7.27653022,112.79389509,38.0,8.35,13.0
-7.27656873,112.79388939,37.0,-7.27652221,112.79390045,38.0,13.27,10.64
-7.27656873,112.79388939,37.0,-7.27651199,112.79390699,39.0,17.1,16.84
